movie,sentence,score
블랙 팬서: 와칸다 포에버,많이 아쉽긴한데 괜찮게 본거같아요,7
카운트,요즘 이런 감동적인 영화가 없었는데 카운터가 그런영화인것같아요.더 많은사람이 보면 좋겠네요,10
영웅,나문희님과 김고은 님이 연기를 너무 잘해주시고 모든 분들의 연기도 감동 적이었어요.,10
카운트,너어무 재밌음.. 연기천재들.. 재미와 감동이 끊기지않는 스토리 최고!!  모두 너무 고생하셨을게 눈에 보임  정말 고생하셨고 저의 인생영화..,10
셔터,유경이랑 손잡고 봐서 10점,10
마루이 비디오,별점을 안주고싶다 진짜 보지마라,2
서치 2,전작보다 긴장감은 한수위인듯..근데 아저씨에서 10대 소녀로 바뀐탓인가..서칭하는게 굉장히 빨라서 따라가기 힘들었다 ㅎ,10
마루이 비디오,쓰레기 이런 쓰레기는 없다 귀신인가 킬러인가,1
스마트폰을 떨어뜨렸을 뿐인데,ㅋㅋㅋㅋ재밌네ㅋㅋㅋ 아니 주변사람 정리하는과정이 무슨 코미디도 아니고 감독자격없다 이영화 감독은,2
카운트,진짜 사투리 연기도 미쳤고 처음엔 웃기다가 갈수록 슬퍼짐ㅜㅜ진짜 내인생 top5 영화다ㄹㅇ,10
더 퍼스트 슬램덩크,원작 전혀 모르는 상태에서 봤는데...너무 너무 멋있고 재밌어서 홀딱 반해버렸습니당,10
더 퍼스트 슬램덩크,마지막 장면리 완전 감동적이고 좋다,10
늑대사냥,아니 총도 안쏘고 ㅋㅋ 경찰들 싸움도 못하고 대체 무엇을 말 하고 싶었던 줄거리일까 지금까지 봤던 영화 중에 세상 제일 최악 이였네요,2
더 퍼스트 슬램덩크,"저는 슬램덩크 세대는 아니지만 친언니가 팬이라 같이 보게 되었는데, 박진감 넘치고 숨죽이고 보게 됩니다! 최고였어요",10
나이브스 아웃: 글래스 어니언,"추리없는추리극만든작답게 스타워즈없는스타워즈만든감독다웟다,볼땐 볼만한데 보고나서생각하면 시리즈엔안맞는 근본없는드라마인데 단편에만재능이잇는듯 뜬금없이 2편에서 주인공비중없고 주연이조연으로바뀌는설정은 일부러그러는건가?",2
서치 2,재밌었어요! 강추강추!,10
살수,재밌구만 평가 박하기는.... 지루하지않고 시간 뚝딱! ,10
서치 2,마지막까지 긴장을 놓을 수 없었어요~!!,10
서치 2,보는내내 긴장감 넘침. 1편 못지 않게 스토리도 탄탄하고.,10
카운트,기대없이봤는데 소소한 재미를찾았네요,10
폭풍의 시간,아직도 식상하지 않은 시간여행 이야기가 있다니. 잘 짜여진 추리소설 같은 영화다.,8
스마트폰을 떨어뜨렸을 뿐인데,개짜증나는 영화. 주인공 속이는 경찰도 짜증남,4
컨버세이션,"자극적인 것들만 넘쳐나는 요즘, 정말 담백한 영화 한 편.",10
컨버세이션,"자극적인 것들만 넘쳐나는 요즘, 정말 담백한 영화 한 편.",10
컨버세이션,"자극적인 것들만 넘쳐나는 요즘, 정말 담백한 영화 한 편.",10
치히로 상,잔잔히 젖어들어가는슴슴한 참치주먹밥이 먹고 싶어지는,10
서치 2,범인 찾기 개빡세네…… 더 빡세짐…..재밌었다 적당히 긴장감 돌고,9
스마트폰을 떨어뜨렸을 뿐인데,"개연성 떨어지고, 영화 중반부에 이미 결말이 예상이 되고, 예상대로 결말이 이어지고, 어설픈 신파(아버지...), 너무 오바스러운 연출... 감독은 영화를 망치고 두 주연 배우가 그나마 동앗줄 이라도 잡게 해준 영화 ",3
메간,잔망미 넘치는 메간 귀여요,9
자백,각본은 좋았으나 배우의 발음과 톤이 좀 어색해서 아쉬움,6
랑종,강력하고 독창적이며 ㅈㄹ맞은 명품 오컬트 영화네요,10
타이타닉,세계 최고 영화 타이타닉,10
늑대사냥,갑작스러운 장르 변화를 하기에는 부족한 감독의 연출역량,5
더 퍼스트 슬램덩크,알고봐도 나쁘지 않았다,8
발레리안: 천 개 행성의 도시,이미지 상상의 끝판.,10
이터널 선샤인,"영화를 보며 한 사람이 계속 떠올랐다. 하지만 영화가 진행될수록 쓸쓸해졌다. 더 이상 그 사람을 떠올리면 안될 것 같았기 때문이다. 결국엔 라쿠나를 다시 찾게 될테니까, 어쩌면 그게 우리 운명일테니까.",8
밤쉘: 세상을 바꾼 폭탄선언,"좋아하는 배우들, 멋진 연기, 미국적인 결말...",10
카운트,감동적이고 재밌습니다,8
아더후드,50대 이상의 삶을 너무 유쾌하고 슬기롭게 표현했다가족을 지키고. 누군가와 헤어지고곁을 떠나는 누군가를 지켜보는 나 ,10
극장판 전생했더니 슬라임이었던 건에 대하여: 홍련의 인연편,슬라임이 말랑귀여워요,7
앤트맨과 와스프: 퀀텀매니아,억지 패밀리즘신파 개그코드 세상어지럽기만한 어린이전용 영화 마블이제졸업한다 너무유치하고 재미고없고 감동도없고 뭣도없다 시끄러운데 잠.잘옴....,1
앤트맨과 와스프: 퀀텀매니아,개미가 귀여웠어요. 후속이 기대되네요,6
서치 2,왓츠앱이랑 애플워치 필수,10
동감,하…진짜 영화 2년에 한번 볼까말까하는 내가 용기내서 선택한 작품이 이거라니 ..진짜 개노잼임 넷플 메인에 떴길래 선택한건데 30분 보고 하차함,2
스마트폰을 떨어뜨렸을 뿐인데,임시완의 선하고 바른 외모와 대립되게 잔인한 행동이 완전 소름이었다. 진짜 있을법한 이야기라서 더 무서웠다.,10
가재가 노래하는 곳,"많은 것을 생각하게 만드는 영화인 것 같아요너무 다양한 영상들이 양산되는 요즈음, 오랜만에  볼 만 한 영화를 만난 것 같네요",10
서치 2,소재와 스토리 모두 다 재미있고 흥미롭다 한마디로 재밌는 영화.,10
앤트맨과 와스프: 퀀텀매니아,생각보다는 괜찮음볼만함,8
창궐,영화 자체가 너무 황당함.,1
다음 소희,당장 가서 봐야하는 영화,10
다음 소희,대한민국 성과주의의 민낯,8
마루이 비디오,앞부분 다큐멘터리뒷부분. ㅗㅗㅗ 갑툭튀 ㅠㅠㅠ뒷부분이 재밋움,6
서치 2,추천합니당 잼나게 잘 봤어용,10
불도저에 탄 소녀,주인공의 연기력에 비해 연출이 아쉬웠습니다.,7
카운트,현직 체육교사로 공감이 많이 되었고  감동 포인트를 잘 살려주었습니다. ,10
카운트,연기같지 않은 연기에 따뜻한 스토리로가족끼리 극장에서  잼있게 봤어요,10
서치 2,이번에도 중국인이 또... 배려심 많아보이는 말투에 넘어가선 안된다고 경각심을 일깨우는 유익한 영화네요.,10
카운트,가족끼리 볼 수 있는 영화 ! 찐 사투리 쓰는 배우분들이 많아서 더 몰입이 잘 되었음 ! 나중에 특선영화로 상영할듯,9
아빠는 딸,예상가능한 내용이지만 감동적이었다.,10
앤트맨과 와스프: 퀀텀매니아,으음. 그냥 조국 조민 출연 시켜서 하고싶은 거짓말 마음껏 씨부리라고 해라. 그게 더 재미질듯.,6
서치 2,믿고보는 서치 반전에반전을 긴장감을 더함 ,9
데시벨,다소 실망스러운 행보였다.,1
가버나움,모든 부조리와 감동을 보았다.,10
서치 2,1편은 안봤지만 나름 재밌게 봤음 악용할 여지도 있고 현대 생활에 맞는 스토리임내용만...,7
유령,왜 평이 안좋지 ?나 진짜 재밌게 봤는데..,10
스마트폰을 떨어뜨렸을 뿐인데,용두사미 뒤로 갈수록 작품의 흥미가 떨어짐,3
스마트폰을 떨어뜨렸을 뿐인데,뭔가 내용이 답답하다. 싱한이 싸패 연기만 볼만하고 나머지들은 캐릭터들이 하… 한숨만 나오는 캐릭터들이 하…개연성 이야기가 괜히 나오는게 아님. 아이폰 써라 아이폰 애페되면 더 좋다.,10
카운트,산뜻하고 밝고 재미있었다.,10
서치 2,서치 재밌게 봐서 서치2 본건데 예상가능한 것도 있었지만 예상 못한 내용으로 전개되면서 너무 재밌게 봤음 !,10
타이타닉,앞으로도 재개봉 할지 모르겠지만 20년전 영화를 처음으로 극장에서 봤다는 그 느낌 하나로 좋았다.,10
카운트,역시 진선규가 진선규했다,10
어메이징 모리스,지루하고 집중 안되는 영화임,2
더 퍼스트 슬램덩크,감동 오지구요 지리구요 렛잇고구요 태섭이 짱멋 존멋이구요,8
폴: 600미터,미친영화 보는내내 손발에 땀을ㄷㄷ,10
서치 2,입 벌리고 보게 되는 영화,9
타이타닉,몇 번을 봐도 언제 봐도 늘 새로운 감동을 주는 영화 진짜 아직까지 못 본 사람들이 있다면 하루라도 아니 10분이라도 미루지 말고 당장 봤으면 좋겠다..,10
앤트맨과 와스프: 퀀텀매니아,최근 마블 영화들 노잼였는데 이건 평잼 이상은 하네요. 빌런이 타노스 만큼의 임팩트는 없어서 아쉬워요.,7
카운트,벚꽃날리는 훈련장면도 마지막 경기장면도 최고에요!,10
서치 2,서치1을 정말 재밌게봐서 2도 보러갔는데 너무 기대치가 높아서 그런가 1을 뛰어넘진 못한것 같네오. 그래도 스토리 탄탄한건 여전히 좋았습니다. ,8
바빌론,"분출, 배출, 모든 것을 쏟아내는 과잉의 미학. 다소 부담스러울 수 있지만, 영화에 대한 거대한 사랑이 절절히 느껴지기에 감안할 수 있다. 꼭 극장에서 봐야만 온전히 느낄 수 있는 시네마!",9
애프터썬,영화 잘 봤습니다~ㅎㅎ,7
카운트,아이 키우느라 진짜 오랫만에 영화관에 갔어요재미도 있고 감동도 있는 영화이네요오랫만에 즐거운 시간 보냈습니다,10
카운트,감동이 있습니다. 메마른 일상에서 선물과 같은 영화입니다!,10
서치 2,어플 종류 엄청 다양하게 나오는데 전부 어딘가 익숙해서 웃기면서도 좀 소름 돋더라ㅋㅋ 전작과 감독님이 달랐지만 영화 서치 특유의 서사는 잘 살린 듯!,10
패밀리 맨,잊혀진 선택과 그로인한 또다른 삶의 부재. 누구도 다 가질 수 없음을 인정해야 한다는 것. 가끔 인생의 glimpse를 위한 시간이 함께 하길. ,8
서치 2,재밌게 봤습니다 반전에 반전이 거듭되니 시간 가는 줄 모르고 푹 빠지게 됩니다,10
카운트,좋았어요~ 추천합니다,8
시크릿헤드쿼터,발알캐릭이 주인공 아빠 아들임. 그냥 유치한맛에 저학년 애들이 좋아할 스토리임.,6
분노의 화살,오늘 출발비디오 여행에서 소개하길래 봤는데~~좀 실망이네요,3
서치 2,"식상할까봐 걱정했는데 스토리, 구성 엄청 촘촘하게 잘 만들었음",10
서치 2,연출과 스토리 그 어느것도 놓치지 않은영화. 서치1의 연출과 비슷한 감동을 주고 스토리도 치밀하게 설계되어 있어서 보면서 소름돋음,10
두다다쿵: 후후섬의 비밀,좋았어요~ 추천합니다,7
서치 2,"전편만 못한 연출에 거듭된 클릭 영상, 못난이 여주인공의 새침한 공주병 연기까지 피로도가 가중",7
카운트,실화를 바탕으로 배우들의 연기력 최고최근에 본 영화중에 제일 좋았어요가족들과 함께 보시길 추천합니다,10
정이,좋은데 왜그러지? 좋은영화 잘봤어요,10
치히로 상,잔잔하게 재밋게 봤습니다,9
카운트,잼남재남^^  추천이요~,8
혐오스런 마츠코의 일생,마지막에 마츠코가 그 표정을 짓지 않았는데도 아버지가 웃어주었다,10
도희야,고구마 34883288개 먹다가 반전없이 끝남,1
레벨 16,재미있음. 몰입감 있고 볼 만한 영화임,7
혼자 사는 사람들,아 되게 잘 만들었네요 ㅠ ,10
가버나움,내인생최고의영화 안본사람없게해주세요,10
올빼미,억지스러운 전개가 있다,2
자백,생각지도 못한 반전이 있는 영화 중간중간 떡밥도 많아서 집중하고 봐야해요 너무 재밌게 잘봤습니다!!! ,10
셜록 놈즈,초등학교 저학년 아이가 좋아할만함. 악당이 너무 귀엽고 웃겨 ㅋㅋㅋ 신남. 시간도 적당함,10
셜록 놈즈,초등학교 저학년 아이가 좋아할만함. 악당이 너무 귀엽고 웃겨 ㅋㅋㅋ 신남. 시간도 적당함,10
셜록 놈즈,초등학교 저학년 아이가 좋아할만함. 악당이 너무 귀엽고 웃겨 ㅋㅋㅋ 신남. 시간도 적당함,10
앤트맨과 와스프: 퀀텀매니아,"많은 악평들이 있지만, 솔직히 마블 시리즈 중에서 앤트맨이 제일 스토리가 빈약하고 재미가 없는거 맞음. 이건 그냥 딱 항상 그래왔듯 앤트맨 다운 앤트맨 영화임! 그래서 만족합니다! 다른 마블 영화랑 비교를 하면 안됨!",10
교섭,"개신교는 일반인 눈에 정신병자로 보이며,저 사태가 일어난 이후도 비슷하게 종교활동하는정신병자는 구할 필요없고, ㅈㄴ보는내내 빡침ㅋㅋ ",5
앤트맨과 와스프: 퀀텀매니아,자다가 일어나서 나옴 그장면이 압권 ㅋㅋ죽은놈이 얼굴나오는게 이게 무슨영화지 하고 나옴,1
서치 2,장난아니네요. 최고였습니다. 후회없이 만족스럽게 봤습니다.,10
상견니,드라마 상견니를 즐겨봤던 사람으로서 만족..ㅠㅠ 상견니 못잊어…ㅠㅠ,10
어메이징 모리스,"딸래미와 잘 보고 왔습니다. 더 어린이들도 괜찮지만, 초등 고학년 정도면 딱이겠어요~",8
날씨의 아이,두 시간 내내 설득력 없는 징징거림을 들어야 했다,6
서치 2,긴장감 있고 나름 반전도 훌륭합니다. 추천합니다.,9
아빠는 딸,이게 8점대라니…너무 뻔한 스토리일걸 알고봣지만 문제를 해결하는 과정은 재밋을줄알았는데 형편없네요,2
데시벨,비현실적이고 감동도 없다,1
TAR 타르,추락 하는 것은 날개가 없다. 여배우 연기가 멱살 잡고 끌고 가는 영화. 엔딩 장면이 나에게는 유주얼서스펙트 만큼이나 충격적이었다.,10
TAR 타르,"베를린, 그리고 케이트 블란쳇.",8
스마트폰을 떨어뜨렸을 뿐인데,소재가 신선하네요 근데 뒤로 갈수록 개연성이 좀 작아지는듯 합니다 그래도 킬링타임용으로 손색없음 ,8
네가 떨어뜨린 푸른 하늘,"연출, 스토리, 연기, 영상미, OST 어느 하나도 빠짐없이 별로인 영화. 개연성도 없고 주연 조연도 임팩트 없고 타임루프 하나만 남음.",2
서치 2,진짜 1편을 보고가서 플롯 예상할 줄 알았는데 전혀 예상 못함,10
패밀리 맨,모두들 어디서 눈물 버튼이 작동했는진 모르겠지만... 저는 녹화된 비디오에서 잭이 Lala means I love you 부를때 케이트가 행복해하는 모습에서 눈물이 터졌어요... 전 아직 결혼도 안했는데 말이죠... 그냥 너무 행복해 보였어요. 감동이예요. 티아 레오니 리즈 눈부시네요. ebs 일요시네마 좋아요. ,10
웨딩 데이트,I wanna go home,10
패밀리 맨,Ebs 고마워요 너무 잔잔하고 감동이에요… ,10
듀얼: 나를 죽여라,배우들이 연기를 잘한다,10
다음 소희,"세상은 잘못됐고, 그 세상을 바꾸는 것은 어쩌면 불가능한 것인지도 모르겠지만 잘못된 세상을 바꾸려는 이들은 늘 존재하고 있고, 존재할 것이며, 그들의 마음을 아는 이들의 노력들은 결코, 멈추지 않을 것이라는 희망과 위로를 준다. 세상이 당장엔 바뀌긴 힘들겠지만 &amp;#39;다음 소희&amp;#39; 와 같은 영화가 세상을 조금씩이라도 바꿔서 이 다음의 소희에게는 냉혹하고 무심한 세상이 아닌, 관심과 따뜻함을 전해줄 수 있는 세상이 되길 간절히 바란다.",9
더 퍼스트 슬램덩크,마지막에 백호가 공 넣을 때 진짜 머리부터 발끝까지 소름 돋았습니다 ㄷㄷ,10
서치 2,재미있었어요 오랜만에 시간 가는 줄 모르고 봤네요 거의 모든게 반처음부터 끝까지 싹다 반전인게 진짜 충격 그 자체였습니다,10
서치 2,서치1 보다 더 긴장감!,10
마루이 비디오,기대 안하고 보면 많이 재밋음 킬링타임용,8
교섭,토악질 나온다 감독은 왜 이런주제로 영화를 만든 의도가 무엇인지 모르겠다. 현실성이 너무없다 저기 나오늘 공무원들은 불평한마디도 없네? 차라리 경영이형이 장관으로 나왔서 &amp;#34;교섭없이 진행시켜&amp;#34; 라고 악역해줬으면 더 나았겠다,2
서치 2,1편 보다 더 흥미진진ㅋㅋㅋ 맥북 사고 싶다ㅋㅋㅋ,10
마루이 비디오,"전설의 고향과 페이크 다큐의 만남이라, 글쎄?",6
더 퍼스트 슬램덩크,여운은 여전하다,10
패밀리 맨,어렸을 때 아무 느낌 없이 봤는데 나이먹고 다시 보니 왜케 눈물이나지… ,10
카운트,너무 너무 재미있어요 편파 판정인줄 알았는데 이영화 보고 다시 알게 되었어요,10
에브리씽 에브리웨어 올 앳 원스,지금 살고 있는 땅덩어리 지구 그리고 태양계 그리고 우주 그리고 또 다른 우주.우리는 우리가 사는 존재가 전부이고 우리가 아는 지식과 생각이 전부라고 여기지만 새로운 세상을 알아 갈수록 경계가 허물어지고 더 넓은 영역으로 도달하게 된다. 치열하게 분투하는 삶을 매일 매일이 무겁게 느껴지지만 결국 이 광활한 한계를 초월한 공간에서는 한없이 보이지 않는 작은 존재..삶속에서 넓은 포용과 관대함을 지니게하는 영화였다.,10
다음 소희,이런 영화가 많이 나오고 많은 사람들이 봤으면 합니다.당사자가 아니라서 아픈 현실을 외면하지말고 함께 느끼고 분노하고 고발해야합니다.20명도 안되는 관람객이 마음이 먹먹해서 다들 일어서지 못했습니다.다들 같은 마음이었겠죠.. 영화 잘 봤습니다.,9
